mType,mDesc,mArg0,mArg1,mArg2,mArg3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,뽑기,300008;300009;310003;310014;630016;630015;630017;310006;310007;630202;630211;630210;630207;360000;360001;360003;660300;660016;660015;660022;360006;360007;660202;660106;660206;660211;660210;660207;501005;501013;1100301;1100300;1100026;1110204;1110122;502632;1110035;1110062;502634;1110036;1110061;502637;502655;502657;502638;502656;502658;910317;1110187;910397;1110197;1110207;1110264;1110265;630803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,변신 합성,0;1;2;3;4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,서번트 합성,0;1;2;3;4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,매터리얼 합성,7000;7001;7002;7003;7004;7010;7011;7012;7013;7014;7020;7021;7022;7023;7024;7030;7031;7032;7033;7034;7040;7041;7042;7043;7044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,제작,160;721;6001;6002;6003;6004;6005;6006;6007;6008;6009;6010;6011;6012;6013;6014;6015;6016;6017;6018;6019;6020;6021;6022;6023;6024;6025;6026;6027;6028;6029;6030;6031;6032;6033;6034;6035;6036;6037;6038;6039;6040;6041;6042;6043;6044;6045;6046;6047;6048;6049;6301;6302;6303;6304;6305;6306;6307;6308;6309;6310;6311;6312;6313;6314;6315;6316;6317;6318;6319;6320;6321;6322;6323;6324;6325;6326;6327;6328;6329;6330;6331;6332;6333;6334;6335;6336;6337;6338;6339;6340;6341;6342;6343;6344;6345;6346;6347;6348;6349;6350;6351;6352;6601;6602;6603;6604;6605;6606;6607;6608;6609;6610;6611;6612;6613;6614;6615;6616;6617;6618;6619;6620;6621;6622;6623;6700;6701;6702;6703;6704;6705;6706;6707;6708;6709;6710;6711;6712;6713;6714;6715;6716;6717;6718;6719;6720;6721;6722;6723;6724;6725;6726;6727;6728;6729;6730;6731;6800;6801;6802;6803;6804;6805;6806;6807;6808;9211;502637;502638;502655;502656;502657;502658;503001;503002;503003;503004;503005;503006;630014;660014;1100290;1100291;1100292;1100310;1110191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,스킬 강화,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,매터리얼 교환,7000;7001;7002;7003;7004;7005;7010;7011;7012;7013;7014;7015;7020;7021;7022;7023;7024;7025;7030;7031;7032;7033;7034;7035;7040;7041;7042;7043;7044;7045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,아이템 강화,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,아이템 강화(강화 포인트사용),null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,영혼 부여,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,각인,435009;432009;430009;433009;434009;431009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,변신 성장효과,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,서번트 성장효과,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,변신 다시뽑기 (뽑기획득),4|10009;2|10000;2|10204;2|10208;2|10203;5|10203;5|10202;301|10202;2|10006;301|630803;2|10011;5|10010;301|10012,,,,,,,,,,,,,,2|10020;301|630803;5|10010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,변신 다시뽑기 (합성획득),2|2;2|3;5|3;5|4;301|4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,서번트 다시뽑기 (뽑기획득),30|10204;30|10208;30|10203;38|10203;38|10202;52|10202;30|10006;30|10011;38|10010;32|10009;30|10000;30|10102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,서번트 다시뽑기 (합성획득),30|2;30|3;38|3;38|4;52|4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,슬롯강화,0;2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,슬롯강화 (고대주문서 사용),0;2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32|10009;30|10000;30|10102;30|10204;30|10203;38|10203;38|10202;30|10006;30|10011;38|10010;2|10010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4|10009;2|10000;2|10204;2|10203;5|10203;5|10202;301|10202;2|10006;2|10011;5|10010;301|10012;301|630803;5|10010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,각인,14020;74020;15000;35000;214000;215000;94020;85000;14100;104000;15500;105000;323180;333100;304040;305000;424000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
