mID,mName,mSubType,mRarity
1,체력 회복 포션[소],27,0
2,체력 회복 포션[중],27,0
3,체력 회복 포션[대],27,0
50,영웅의 등심 숯불구이,28,0
51,사냥꾼의 닭고기 스튜,28,0
52,현자의 생선 수프,28,0
53,모험가를 위한 특선 요리,28,0
54,특별한 모둠 꼬치구이,28,0
60,아드레날린 증폭 포션,28,0
61,상급 아드레날린 증폭 포션,28,1
62,최상급 아드레날린 증폭 포션,28,2
80,현자의 물약,28,0
81,마나 회복제,28,0
90,해독 포션,28,0
100,신속 포션,28,0
101,대형 신속 포션,28,0
105,투지 포션,28,0
110,초신속 포션,28,0
120,경험치 증폭제[10%],28,0
121,경험치 증폭제[20%],28,0
122,어쌔신 전용 경험치 증폭제[100%],28,0
123,경험치 증폭제[30%],28,0
124,경험치 증폭제[50%],28,0
125,경험치 증폭제[100%],28,0
130,검술의 비약,28,0
131,궁술의 비약,28,0
132,마법의 비약,28,0
140,암살단의 독병,79,0
141,암살단의 맹독병,79,0
142,암살단의 강렬한 독병,79,0
150,콜포트의 축복,28,2
151,데모자르의 축복,28,2
160,무기 각인 증폭제,28,2
200,마을 귀환 주문서,35,0
201,아지트 귀환 주문서,36,0
202,순간 이동 주문서,40,0
203,빛나는 순간 이동 주문서,39,0
250,스크롤 : 마나 리제네레이션,28,0
251,스크롤 : 스톤 스킨,28,0
252,스크롤 : 웨이트 익스텐션,28,0
260,회복의 마법 주문서,28,0
261,상급 회복의 마법 주문서,28,0
262,최상급 회복의 마법 주문서,28,0
270,전투의 마법 주문서,28,0
271,상급 전투의 마법 주문서,28,0
272,최상급 전투의 마법 주문서,28,0
280,계승자의 의지 물약,28,2
300,무기 강화 주문서,30,0
301,방어구 강화 주문서,30,0
302,장신구 강화 주문서,30,0
303,슬롯 강화 주문서,93,0
304,매터리얼 슬롯 강화 주문서,97,0
310,축복받은 무기 강화 주문서,32,0
311,축복받은 방어구 강화 주문서,32,0
312,축복받은 장신구 강화 주문서,32,0
320,저주받은 무기 강화 주문서,31,0
321,저주받은 방어구 강화 주문서,31,0
322,저주받은 장신구 강화 주문서,31,0
330,고대의 무기 강화 주문서,33,0
331,고대의 방어구 강화 주문서,33,0
332,고대의 장신구 강화 주문서,33,0
333,고대의 슬롯 강화 주문서,94,0
334,고대의 매터리얼 슬롯 강화 주문서,98,0
340,수호의 팔찌 강화 주문서,30,0
341,파괴의 가면 강화 주문서,30,0
342,생명의 금관 강화 주문서,30,0
343,숙련의 나팔 강화 주문서,30,0
344,영혼의 부적 강화 주문서,30,0
345,극복의 성배 강화 주문서,30,0
350,마나에 물든 파피루스,114,2
351,마나에 물든 상급 파피루스,114,3
352,마나에 물든 최상급 파피루스,114,4
400,변신의 돌,29,0
401,서번트 소환의 돌,42,0
410,마법의 크리스탈,43,0
411,반짝이는 가루,43,0
450,시간의 모래 : 필드 던전,41,0
451,시간의 모래 : 발레포르 던전,41,0
452,시간의 모래 : 원시해적의 동굴,41,0
453,시간의 모래 : 메테오스의 탑,41,0
454,시간의 모래[하급] : 메테오스의 탑,41,0
455,시간의 모래 : 엘테르 던전,41,0
456,시간의 모래 : 만월의 유적지,41,0
457,시간의 모래 : 용기의 전장,41,0
600,무기 복구 주문서,57,4
601,방어구 복구 주문서,58,4
602,장신구 복구 주문서,59,4
603,무료 경험치 복구 주문서,64,0
604,전리품 복구 주문서,85,4
610,무기 복구 주문서[이벤트],57,2
611,방어구 복구 주문서[이벤트],58,2
