mType,mDesc,mArg0,mArg1,mArg2,mArg3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,뽑기,300008;300009;310003;310014;630016;630015;630017;310006;310007;630202;630211;630210;630207;360000;360001;360003;660300;660016;660015;660017;660022;360006;360007;660202;660106;660206;660211;660210;660207;501005;501013;1100301;1100300;1100026;1110204;1110122;502632;1110035;1110062;502634;1110036;1110061;502637;502655;502657;502638;502656;502658;910317;1110187;910397;1110197;1110207;1110264;1110265;630803;1110278;1110279;1110280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,변신 합성,0;1;2;3;4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,서번트 합성,0;1;2;3;4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,매터리얼 합성,7000;7001;7002;7003;7004;7010;7011;7012;7013;7014;7020;7021;7022;7023;7024;7030;7031;7032;7033;7034;7040;7041;7042;7043;7044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,제작,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,스킬 강화,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,매터리얼 교환,7000;7001;7002;7003;7004;7005;7010;7011;7012;7013;7014;7015;7020;7021;7022;7023;7024;7025;7030;7031;7032;7033;7034;7035;7040;7041;7042;7043;7044;7045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,아이템 강화,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,아이템 강화(강화 포인트사용),null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,영혼 부여,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,각인,14020;74020;15000;35000;214000;215000;94020;85000;14100;104000;15500;105000;323180;333100;304040;305000;424000;435009;432009;430009;433009;434009;431009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,변신 성장효과,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,서번트 성장효과,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,변신 다시뽑기 (뽑기획득),4|10009;2|10000;2|10204;2|10208;2|10203;5|10203;5|10202;301|10202;2|10006;301|10402;2|10011;5|10010;301|10012,,,,,,,,,,,,,,2|10020;301|630803;5|10010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,변신 다시뽑기 (합성획득),2|2;2|3;5|3;5|4;301|4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,서번트 다시뽑기 (뽑기획득),30|10204;30|10208;30|10203;38|10203;38|10202;52|10202;30|10006;30|10011;38|10010;32|10009;30|10000;30|10102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,서번트 다시뽑기 (합성획득),30|2;30|3;38|3;38|4;52|4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
