수행시각,합성종류,아이템명,뽑기횟수,뽑기확률(%),기대확률(%),오차(%)
2023-02-24 17:27,일반합성,코볼트,32834,3.2834,3.25,1.0277
2023-02-24 17:27,일반합성,하피,32752,3.2752,3.25,0.7754
2023-02-24 17:27,일반합성,놀 병사,32237,3.2237,3.25,0.8092
2023-02-24 17:27,일반합성,오크,32493,3.2493,3.25,0.0215
2023-02-24 17:27,일반합성,그렘린,32283,3.2283,3.25,0.6677
2023-02-24 17:27,일반합성,홉 고블린,32429,3.2429,3.25,0.2185
2023-02-24 17:27,일반합성,용아병,32315,3.2315,3.25,0.5692
2023-02-24 17:27,일반합성,좀비,32298,3.2298,3.25,0.6215
2023-02-24 17:27,일반합성,버섯돌이,32638,3.2638,3.25,0.4246
2023-02-24 17:27,일반합성,콜로복,32521,3.2521,3.25,0.0646
2023-02-24 17:27,일반합성,선인장,32324,3.2324,3.25,0.5415
2023-02-24 17:27,일반합성,갈색 곰,32545,3.2545,3.25,0.1385
2023-02-24 17:27,일반합성,놀 아처,32501,3.2501,3.25,0.0031
2023-02-24 17:27,일반합성,코볼트 아처,32896,3.2896,3.25,1.2185
2023-02-24 17:27,일반합성,식인늑대,32449,3.2449,3.25,0.1569
2023-02-24 17:27,일반합성,리자드맨,32529,3.2529,3.25,0.0892
2023-02-24 17:27,일반합성,군,32346,3.2346,3.25,0.4738
2023-02-24 17:27,일반합성,벌거숭이 군,32552,3.2552,3.25,0.16
2023-02-24 17:27,일반합성,청개구리,32399,3.2399,3.25,0.3108
2023-02-24 17:27,일반합성,괴물게,32561,3.2561,3.25,0.1877
2023-02-24 17:27,일반합성,인퍼날,13855,1.3855,1.425,2.7719
2023-02-24 17:27,일반합성,버서커,14184,1.4184,1.425,0.4632
2023-02-24 17:27,일반합성,가고일,14186,1.4186,1.425,0.4491
2023-02-24 17:27,일반합성,데몬 스토커,14296,1.4296,1.425,0.3228
2023-02-24 17:27,일반합성,캐노네이드 키틴,14328,1.4328,1.425,0.5474
2023-02-24 17:27,일반합성,데몬,14434,1.4434,1.425,1.2912
2023-02-24 17:27,일반합성,러스트 뱀파이어,14361,1.4361,1.425,0.7789
2023-02-24 17:27,일반합성,뱀파이어 퀸,14292,1.4292,1.425,0.2947
2023-02-24 17:27,일반합성,데빌,14453,1.4453,1.425,1.4246
2023-02-24 17:27,일반합성,스켈레톤 나이트,14161,1.4161,1.425,0.6246
2023-02-24 17:27,일반합성,뮤,8206,0.8206,0.8,2.575
2023-02-24 17:27,일반합성,노움,14515,1.4515,1.425,1.8596
2023-02-24 17:27,일반합성,오크 전사,14182,1.4182,1.425,0.4772
2023-02-24 17:27,일반합성,트롤,14240,1.424,1.425,0.0702
2023-02-24 17:27,일반합성,루움,14244,1.4244,1.425,0.0421
2023-02-24 17:27,일반합성,본보우 아크리언,14130,1.413,1.425,0.8421
2023-02-24 17:27,일반합성,메테오스 레인저,14071,1.4071,1.425,1.2561
2023-02-24 17:27,일반합성,임프,14219,1.4219,1.425,0.2175
2023-02-24 17:27,일반합성,뱅갈 나이트,14160,1.416,1.425,0.6316
2023-02-24 17:27,일반합성,바바야가,14348,1.4348,1.425,0.6877
