수행시각,뽑기ID,groupID,아이템명,뽑기횟수,뽑기확률(%),기대확률(%),오차(%)
2023-02-26 23:24,300008,10008,하피,39568,3.9568,3.9619,0.1287
2023-02-26 23:24,300008,10008,코볼트,39402,3.9402,3.9619,0.5477
2023-02-26 23:24,300008,10008,놀 병사,39113,3.9113,3.9619,1.2772
2023-02-26 23:24,300008,10008,오크,39600,3.96,3.9619,0.048
2023-02-26 23:24,300008,10008,그렘린,39673,3.9673,3.9619,0.1363
2023-02-26 23:24,300008,10008,홉 고블린,39401,3.9401,3.9619,0.5502
2023-02-26 23:24,300008,10008,용아병,39830,3.983,3.9619,0.5326
2023-02-26 23:24,300008,10008,좀비,39586,3.9586,3.9619,0.0833
2023-02-26 23:24,300008,10008,콜로복,39746,3.9746,3.9619,0.3206
2023-02-26 23:24,300008,10008,버섯돌이,39806,3.9806,3.9619,0.472
2023-02-26 23:24,300008,10008,선인장,39453,3.9453,3.9619,0.419
2023-02-26 23:24,300008,10008,갈색 곰,40122,4.0122,3.9619,1.2696
2023-02-26 23:24,300008,10008,코볼트 아처,39735,3.9735,3.9619,0.2928
2023-02-26 23:24,300008,10008,놀 아처,39698,3.9698,3.9619,0.1994
2023-02-26 23:24,300008,10008,식인늑대,39412,3.9412,3.9618,0.52
2023-02-26 23:24,300008,10008,리자드맨,39515,3.9515,3.9618,0.26
2023-02-26 23:24,300008,10008,벌거숭이 군,39673,3.9673,3.9618,0.1388
2023-02-26 23:24,300008,10008,괴물게,39622,3.9622,3.9618,0.0101
2023-02-26 23:24,300008,10008,청개구리,39479,3.9479,3.9618,0.3509
2023-02-26 23:24,300008,10008,군,39812,3.9812,3.9618,0.4897
2023-02-26 23:24,300008,10008,캐노네이드 키틴,8552,0.8552,0.8422,1.5436
2023-02-26 23:24,300008,10008,데몬 스토커,8352,0.8352,0.8422,0.8312
2023-02-26 23:24,300008,10008,가고일,8617,0.8617,0.8422,2.3154
2023-02-26 23:24,300008,10008,인퍼날,8424,0.8424,0.8422,0.0237
2023-02-26 23:24,300008,10008,버서커,8410,0.841,0.8422,0.1425
2023-02-26 23:24,300008,10008,뱀파이어 퀸,8521,0.8521,0.8422,1.1755
2023-02-26 23:24,300008,10008,데몬,8314,0.8314,0.8422,1.2824
2023-02-26 23:24,300008,10008,데빌,8397,0.8397,0.8422,0.2968
2023-02-26 23:24,300008,10008,러스트 뱀파이어,8397,0.8397,0.8422,0.2968
2023-02-26 23:24,300008,10008,스켈레톤 나이트,8469,0.8469,0.8422,0.5581
2023-02-26 23:24,300008,10008,노움,8387,0.8387,0.8422,0.4156
2023-02-26 23:24,300008,10008,오크 전사,8319,0.8319,0.8422,1.223
2023-02-26 23:24,300008,10008,트롤,8486,0.8486,0.8422,0.7599
2023-02-26 23:24,300008,10008,루움,8483,0.8483,0.8421,0.7363
2023-02-26 23:24,300008,10008,본보우 아크리언,8314,0.8314,0.8421,1.2706
2023-02-26 23:24,300008,10008,메테오스 레인저,8400,0.84,0.8421,0.2494
2023-02-26 23:24,300008,10008,임프,8386,0.8386,0.8421,0.4156
2023-02-26 23:24,300008,10008,뱅갈 나이트,8310,0.831,0.8421,1.3181
2023-02-26 23:24,300008,10008,메테오스 쉐도우,8500,0.85,0.8421,0.9381
2023-02-26 23:24,300008,10008,바바야가,8359,0.8359,0.8421,0.7363
2023-02-26 23:24,300008,10008,트로글다이트,8484,0.8484,0.8421,0.7481
2023-02-26 23:24,300008,10008,문엘프 전사,8397,0.8397,0.8421,0.285
2023-02-26 23:24,300008,10008,곰인형,8535,0.8535,0.8421,1.3538
2023-02-26 23:24,300008,10008,문엘프 마법사,8485,0.8485,0.8421,0.76
2023-02-26 23:24,300008,10008,몽크마스터,139,0.0139,0.0135,2.963
2023-02-26 23:24,300008,10008,래서 아스타로트,148,0.0148,0.0135,9.6296
2023-02-26 23:24,300008,10008,드래곤 나이트,141,0.0141,0.0135,4.4444
2023-02-26 23:24,300008,10008,레프리컨,144,0.0144,0.0135,6.6667
2023-02-26 23:24,300008,10008,노아스,157,0.0157,0.0135,16.2963
2023-02-26 23:24,300008,10008,엘라임,123,0.0123,0.0135,8.8889
2023-02-26 23:24,300008,10008,퓨리,153,0.0153,0.0135,13.3333
2023-02-26 23:24,300008,10008,크루얼 크루세이더,115,0.0115,0.0135,14.8148
2023-02-26 23:24,300008,10008,수호자 엘리엇,119,0.0119,0.0135,11.8519
2023-02-26 23:24,300008,10008,드래곤 나이트 아처,127,0.0127,0.0135,5.9259
2023-02-26 23:24,300008,10008,래서 루시퍼,131,0.0131,0.0135,2.963
2023-02-26 23:24,300008,10008,님로드 크루세이더,142,0.0142,0.0135,5.1852
2023-02-26 23:24,300008,10008,광휘의 엘로라,145,0.0145,0.0135,7.4074
2023-02-26 23:24,300008,10008,파이어 데몬,115,0.0115,0.0135,14.8148
2023-02-26 23:24,300008,10008,슈리엘,134,0.0134,0.0135,0.7407
2023-02-26 23:24,300008,10008,네크로맨서,139,0.0139,0.0134,3.7313
2023-02-26 23:24,300008,10008,쉐이드 웨폰,123,0.0123,0.0134,8.209
2023-02-26 23:24,300008,10008,골든 엠페러,116,0.0116,0.0134,13.4328
2023-02-26 23:24,300008,10008,시아페,122,0.0122,0.0134,8.9552
2023-02-26 23:24,300008,10008,레이커,133,0.0133,0.0134,0.7463
2023-02-26 23:24,300008,10008,타락한 엘프,121,0.0121,0.0134,9.7015
2023-02-26 23:24,300008,10008,가이아,149,0.0149,0.0134,11.194
2023-02-26 23:24,300008,10008,문라이트 네메시스,129,0.0129,0.0134,3.7313
2023-02-26 23:24,300008,10008,골든 엠페러 아처,142,0.0142,0.0134,5.9701
2023-02-26 23:24,300008,10008,스핀들 네메시스,131,0.0131,0.0134,2.2388
2023-02-26 23:24,300008,10008,가이아 거너,145,0.0145,0.0134,8.209
2023-02-26 23:24,300008,10008,타락한 엘프 아처,122,0.0122,0.0134,8.9552
2023-02-26 23:24,300008,10008,길가메쉬 나이트,128,0.0128,0.0134,4.4776
2023-02-26 23:24,300008,10008,차크람 소녀,139,0.0139,0.0134,3.7313
2023-02-26 23:24,300008,10008,길가메쉬 아처,142,0.0142,0.0134,5.9701
2023-02-26 23:24,300008,10008,바바리안,144,0.0144,0.0134,7.4627
2023-02-26 23:24,300008,10008,에리세드,138,0.0138,0.0134,2.9851
2023-02-26 23:24,300008,10008,글래디에이터,98,0.0098,0.0134,26.8657
2023-02-26 23:24,300008,10008,아수라,128,0.0128,0.0134,4.4776
2023-02-26 23:24,300008,10008,아크데몬,135,0.0135,0.0134,0.7463
2023-02-26 23:24,300008,10008,라르카 집정관,129,0.0129,0.0134,3.7313
2023-02-26 23:24,300008,10008,헤라클레스,122,0.0122,0.0134,8.9552
2023-02-26 23:24,300008,10008,리치 킹,149,0.0149,0.0134,11.194
2023-02-26 23:24,300008,10008,황천의 기사,143,0.0143,0.0134,6.7164
2023-02-26 23:24,300008,10008,황천의 레인저,133,0.0133,0.0134,0.7463
2023-02-26 23:24,300008,10008,렉스,123,0.0123,0.0134,8.209
2023-02-26 23:24,300009,10009,코볼트,39264,3.9264,3.9575,0.7858
2023-02-26 23:24,300009,10009,놀 병사,39700,3.97,3.9575,0.3159
2023-02-26 23:24,300009,10009,하피,39380,3.938,3.9575,0.4927
2023-02-26 23:24,300009,10009,오크,39389,3.9389,3.9575,0.47
2023-02-26 23:24,300009,10009,그렘린,39988,3.9988,3.9575,1.0436
2023-02-26 23:24,300009,10009,좀비,39598,3.9598,3.9575,0.0581
2023-02-26 23:24,300009,10009,홉 고블린,39793,3.9793,3.9575,0.5509
2023-02-26 23:24,300009,10009,버섯돌이,39815,3.9815,3.9575,0.6064
