수행시각,합성종류,아이템명,뽑기횟수,뽑기확률(%),기대확률(%)
2023-02-27 01:22,일반합성,캣시,81135,8.1135,8.1250
2023-02-27 01:22,일반합성,갈리,81295,8.1295,8.1250
2023-02-27 01:22,일반합성,코볼트,81451,8.1451,8.1250
2023-02-27 01:22,일반합성,로비어,80812,8.0812,8.1250
2023-02-27 01:22,일반합성,레무르,81128,8.1128,8.1250
2023-02-27 01:22,일반합성,맨드레이크,81378,8.1378,8.1250
2023-02-27 01:22,일반합성,넛츠,81560,8.156,8.1250
2023-02-27 01:22,일반합성,스컬리,81327,8.1327,8.1250
2023-02-27 01:22,일반합성,뚱냥,38125,3.8125,3.8000
2023-02-27 01:22,일반합성,가고일,38216,3.8216,3.8000
2023-02-27 01:22,일반합성,와이번,38015,3.8015,3.8000
2023-02-27 01:22,일반합성,인형 테디,38046,3.8046,3.8000
2023-02-27 01:22,일반합성,인형 레비,37992,3.7992,3.8000
2023-02-27 01:22,일반합성,로간,37953,3.7953,3.8000
2023-02-27 01:22,일반합성,녹튜,37861,3.7861,3.8000
2023-02-27 01:22,일반합성,플라틀,37611,3.7611,3.8000
2023-02-27 01:22,일반합성,레이지,8108,0.8108,0.8000
2023-02-27 01:22,일반합성,맨드라퀸,37987,3.7987,3.8000
